Intent	Sentence
consulto_medico	Vorrei  dimagrire
new_covid_19	Ho paura perché c'è questo coronavirus e ho fiato corto e tosse
vaccini_viaggi	Quali vaccinazioni sono consigliate se viaggio in Messico o città del Messico?
modifica_ordine	Vorrei effettuare modifiche all'ordine
no_corrispondenza_prodotti	Non trovo una corrispondenza tra i prodotti online e quelli in negozio
scaricare_app	Posso scaricare l'app uwell sia da Play store che da Apple store?
errore_apertura_pagina	Non riesco proprio ad accedere alla pagina di conferma email
citta_consegna	milano
errore_conclusione_ordine	Errore con l'ordine non mi fa confermare i prodotti nel carrello e procedere
rimozione_dati	Non mi sono iscritta alla piattaforma ma vedo i dati
ricerca_prodotti	rotolo alluminio
lista_preferiti	Posso selezionare dei prodotti come favoriti?
importo_pagato_diverso	L'importo totale era diverso da quello della conferma ordine
modifica_dati_anagrafici	dati anagrafici sbagliati come li cambio?
estensione_geografica	In quali città è possibile utilizzare il servizio?
consegna_a_domicilio	come avviene il servizio di consegna a domicilio?
registrazione_senza_email	Mi voglio registrare ma non ho l'email
carta_non_intestatario	posso inserire una carta fedeltà di un'altra persona?
operatore	come faccio a reclamare?
errore_pagamento	L'importo della spesa è stato addebitato due volte
costo_servizio	Quanto costa registrarsi a uwell?
app	Come si chiama l'APP per IOS?
modifica_ordine	Posso effettuare delle modifiche ad un ordine già inoltrato?
errore_conclusione_ordine	non mi ha preso ordine spesa
contenuti_blog	Posso contribuire alla stesura di articoli sul vostro blog?
consegna_a_domicilio	Consegna a domicilio
new_covid_19	Vorrei avere informazioni sul coronavirus
cancellazione_account	come fare per disiscriversi
carrello_spesa	Avrei bisogno del carrello della spesa
consulto_medico	Cattivi odori femminili
pagina_personale	Pagina personale cos'è e a cosa serve ?
promozioni	Vorrei sapere le promo attive al momento
citta_consegna	Che aree sono coperte dal servizio?
tracking	info sulla mia spesa
coupon_omaggio	Posso avere dei coupon omaggio?
prodotto_irreperibile	Come posso fare per trovare il prodotto?
acquisto_senza_carta_piu	Non ho la carta fedeltà per completare la registrazione
email_conferma_registrazione	Non mi è arrivata l'email di conferma della mia registrazione
contatti	desidero sapere il tempo che passa per la consegna e il costo la ringrazio e le auguro buo
reso_prodotti	Prodotti marci
carrello_spesa	ordino ma non mi mette la spesa nel carrello
privacy	Leggi che applicate per la tutela della privacy?
consulto_medico	curare la depressione
complimenti	La vostra applicazione è davvero bellissima
modifica_password	Vorrei modificare la password
modifica_password	Vorrei sapere come si fa a modificare la password
consegna_a_domicilio	Come funziona consegna a casa?
logout_carrello	Stavo arrivando alla fine della spesa ma dopo la registrazione ho perso tutto il contenuto del carrello
fasce_orarie_consegna_a_casa	Fate la consegna la domenica?
hr	Come posso fare per candidarmi
consulto_medico	Tregetol normale 400
errore_apertura_pagina	Non apre la pagina dell'armadietto digitale
consulto_medico	Pillola assunta il 2 giorno
familiari	è possibile aggiungere un figlio maggiorenne
vaccini_viaggi	Sto organizzando un viaggio in Australia, dove posso trovare informazioni su quali vaccinare fare?
modalita_pagamento	Vorrei pagare per la spesa online in contanti è possibile?
modifica_preferiti	Mi sono iscritta ma non riesco a modificare la mia farmacia
iniziative_commerciali	Vorrei proporvi delle iniziative commerciali
senza_glutine	avete anche prodotti senza glutine?
logout_carrello	Se effettuo il logout senza aver terminato un ordine, perdo il contenuto del carrello?
mancato_accredito_punti	Non riesco a vedere gli ultimi punti caricati nella mia carta fedeltà
modalita_pagamento	Mi sai dire come posso pagare?
email_conferma_registrazione	Non ho ricevuto email di conferma
uso_improprio_email	Non vi ho mai consentito di memorizzare i miei dati
password_dimenticata	Non ricordo la password che faccio?
consulto_medico	Possibile avere info su acido folico
prezzo_prodotti	Mi sai dire qual è il prezzo di questo determinato prodotto?
reso_prodotti	Ho ricevuto i prodotti sbagliati
fattura	Fate la fattura?
reso_prodotti	ho ricevuto un prodotto marcio
tracking	Come posso tracciare l'ordine?
ricerca_prodotti	Vorrei sapere dove posso acquistare le impanature de cecco
hr	Quali sono le posizioni lavorative aperte?
consulto_medico	Ho delle crisi forti di allergia
utente_bloccato	L'utente da me inserito è bloccato con un lucchetto rosso sopra
errore_aggiunta_carrello	Eliminare tutti i prodotti nel carello
lista_farmaci_consegna_a_domicilio	quali tipi di farmaci consegnate
info_negozi	trova il mio negozio più vicino
problema_configurazione_app	Mi fa selezionare solo Huawei 2
rimozione_dati	Come mai non mi sono iscritta alla piattaforma ma vedo comunque i miei dati?
problema_sito	la pagina dei miei preferiti non si carica
problema_consegna	Mi hanno consegnato la spesa con grande ritardo rispetto all'orario prefissato
contatti	Come faccio a contattarvi
fare_spesa	Come posso procedere all'ordine e poi al ritiro?
annullare_ordine	Vorrei annullare l'ordine
promozioni	Info promo attive
citta_consegna	Quale punto vendita è abilitato alla spesa on Line
complimenti	La vostra app è stupenda
ricerca_prodotti	dove posso comprare sancrispino rosso?
errore_generico_app	l'app non va
sconti_non_applicati	Gli sconti non sono stati applicati
cambiare_email	come faccio a cambiare l'email
errore_generico_app	L'app crasha da dispositivi android
modifica_email	Avevo inserito un'email ma non è più corretta che faccio?
email_modifica	Info cambio e-mail ?
collaborazioni	Vorrei lavoro con voi grazie anche da subito
quando_punti	Avrei bisogno di info su l'accredito dei punti spesa!
codice_fiscale	come inserisco il codice fiscale
consulto_medico	Come posso vedere il battito del cuoricino
profilo_salute	voglio creare un profilo salute
email_modifica	Cosa posso fare se devo comunicare una nuova email?
modifica_password	Modifica password
esito_ordine	Come faccio a capire se il mio ordine è andato a buon fine?
info_negozi	Punti vendita più vicini
consegna_premi	Posso ricevere i premi con la spesa ?
ricerca_prodotti	Randy cat
promozioni	Che promo ci sono ora?
errore_conclusione_ordine	Non mi permette di concludere l'ordine
orari_negozi	Quali sono gli orari disponibili per il ritiro in negozio dei prodotti?
disponibilita_prodotti	cerco un prodotto che non torvo
modifica_email	Vorrei modificare l'email ma non ricordo come si fa
problema_consegna	no date disponibili per consegna spesa
errore_codice_segreto	codice segreto non è giusto
hr	Voglio lavorare con voi
hr	Vorrei lavorare con voi come faccio ad inviare il CV? Vorrei sapere quali sono le posizioni lavorative aperte
modalita_pagamento	Posso pagare la spesa on line con carta prepagata?
carrello_spesa	Dove inserisco i miei prodotti?
fare_spesa	Non trovo punti vendita a Cagliari che consegnino a casa. Come funziona?
codice_fiscale	Mi aiuti ad inserire il codice fiscale?
logout_carrello	posso recuperare il carrello della spesa?
sconti_non_applicati	Gli sconti non mi sono stati applicati
errore_password	Ho un problema con l'inserimento della password mi continua a dire che è errata
estensione_geografica	estensione geografica
problema_configurazione_app	Non riesco a scaricare l'app sul mio iphone 5s
area_non_coperta	Servizio non attivo nella mia zona che faccio M
volantino	Scaricare il volantino mensile?
device_diversi_sincronizzati	Più device insieme
cancellazione_account	elimina account
scontrino_fiscale	lo scontrino deve riportare il codice fiscale
errore_pagamento	Ho problemi col pagamento
consegna_spesa	Come fate a consegnare la spesa a casa?
codice_fiscale	come inserisco la tessera sanitaria?
costo_servizio	L'app è gratuita?
orari_negozi	quando chiudete?
ordine_effettuare	come effettuo un ordine?
problema_consegna	Non mi avete consegnato la spesa nell'orario che ho inserito io
pagina_personale	A cosa serve la pagina personale ?
errore_aggiunta_familiare	come faccio ad aggiungere un altro profilo?
errore_metodo_pagamento	é possibile che non accettiate il mio metodo di pagamento?
consulto_medico	ho un attacco di asma
device_diversi_sincronizzati	è possibile sincronizzare telefoni diversi?
sconti_non_applicati	lo sconto non è stato applicato
contenuti_blog	Vorrei sapere come scrivere un articolo sul vostro blog
controindicazioni	controindicazioni
errore_password	Non riesco ad accedere al mio account
rimozione_dati	salve sono dr.ssa trovo i miei dati sul vostro sito, vi chiedo di toglierli in quanto non sono aggiornati e non mi risulta di aver mai avuto contatti con voi
problema_accesso_app	Problemi di accesso che faccio?
modifica_preferiti	Come mai non mi fa modificare la farmacia?
consegna_premi	posso avere insieme alla spesa i premi?
citta_consegna	Servizio attivo ovunque ?
lista_farmaci_consegna_a_domicilio	Dove trovo i farmaci da acquistare ?
ricerca_prodotti	Quanto costa il kefir d'acqua bio nova?
info_negozi	negozio di bergamo
catalogo_premi	Ho bisogno del catalogo dei premi
insoddisfazione_ordine	con chi parlo se non sono soddisfatto dell'ordine?
errore_pagamento	Ho pagato con la mia carta 54 euro e oggi vedo che il totale che è stato pagato è di 25, in quanto tempo mi verrà rimborsata la differenza?
consegna_piano	la spesa mi viene consegnata a casa ?
contenuti_blog	Come faccio a scrivere un articolo sul vostro blog?
modifica_ordine	è possibile modificare un ordine ?
consulto_medico	ho un'allergia alimentare
problema_consegna	ho ricevuto la spesa a domicilio però non ho ricevuto lo scontrino come potrei averlo anche via mail?
mancato_accredito_punti	Ho fatto la spesa ma i punti non mi sono stati ancora accreditati
estensione_geografica	Mi sai dire su quali città è disponibile il servizio?
problema_configurazione_app	Tra i dispositivi mi fa selezionare solo huawei
sconti_non_applicati	sconto del 50%
quando_punti	accredito punti spesa
contatti_punti_vendita	Dove trovo la lista dei contatti dei punti vendita?
info_vetrina	Vetrina prodotti
cancellazione_account	Potreste cancellare i miei dati?
consulto_medico	mi viene da vomitare
contatti	Posso parlare con un operatore?
prezzo_prodotti	Dove posso scoprire il prezzo di un prodotto?
carta_non_intestatario	In fase di registrazione, posso inserire una Carta Fedeltà di cui non sono intestatario?
disponibilita_prodotti	Il prodotto non è disponibile che faccio?
errore_pagamento	Come posso annullare i dati della carta di credito salvati erroneamente?
familiari	Quali familiari possono inserire ?
a_chi_si_rivolge	per chi è
cancellare_registrazione	Vorrei cancellare la mia registrazione
problema_consegna	Non ci sono orari disponibili?
catalogo_premi	raccolta punti, premi
consulto_medico	Ho problemi intestinali non so se posso assumere?
tipologie_ordine	Ordini tipologie
promozioni	Promo attive al momento
citta_consegna	È coperta la zona di porto taverna in agosto?
esito_ordine	Ho fatto un'ordine questa mattina e non ho ricevuto nessuna conferma. Mi dite se la transazione è ok?
consulto_medico	Come sto andando con gli esercizi che pratico?
ricerca_prodotti	Vedo che la frutta non è disponibile
citta_consegna	Non vedo il punto vendita di corso svizzera dove vado sempre.Come mai?
errore_password	Ho problemi con l'inserimento della nuova password
errore_apertura_pagina	Stavo provando ad accedere alla pagina di conferma email ma non riesco
servizio_di_consegna	cifra base per consegne in fasce orarie previste?
esito_ordine	Vorrei sapere se il mio ordine ha avuto esito positivo
errore_password	Ho dimenticato la password e ho fatto il recupero. Ma il codice non mi arriva
problema_consegna	Non riesco a fare l'ordine
device_diversi_sincronizzati	come sincronizzo il computer con il telefono
ticket	vorrei pagare con un ticket
citta_consegna	In quali città consegnate ?
problema_consegna	Dice che l'orario non e più disponibile
sconti_non_applicati	problema inserimento sconti
info_registrazione	Vorrei registrarmi
codice_cartapiu	Codice carta più di quante cifre?
estensione_geografica	Avete intenzione di espendervi anche in altre città?
hr	Dove trovo le posizioni aperte?
tracking	ho effettuato un ordine con consegna a domicilio
complimenti	sono davvero contento della vostra app
provenienza_spesa	Spesa e provenienza
reso_prodotti	Ho annullato l'ordine. Come vengo rimborsato?
agenda_bloccata	Non riesco ad accedere all'agenda e a salvare i miei appuntamenti. Riesco a salvarli solo sul mio telefono
contenuti_blog	Mi sai dire se posso aggiungere un contenuto al vostro blog ?
problema_sito	Non si attiva il menu a tendina per la scelta del punto vendita
problema_sito	c'è un problema sul sito
fare_spesa	Se ordino la spesa on line qual'è il tempo di attesa?
modifica_password	Sai dirmi come posso modificare la password ?
carta_non_intestatario	posso registrarmi con una carta di cui non sono intestatario?
limite_minimo	quant'è la quantità minima di spesa?
volantino	Volantino disponibile online?
cancellazione_newsletter	eliminami da newsletter
logout_carrello	Avevo iniziato la spesa ma non trovo più il mio carrello, dove posso trovarlo?
fare_spesa	Posso fare la spesa on line e ritirarla nel punto vendita selezionato?
ricerca_prodotti	Guinness scura
ricerca_prodotti	Non trovo le stoviglie di plastica
scaricare_app	Come faccio a scaricare l'app uwell ?
fare_spesa	come faccio a concludere l'ordine?
limite_minimo	limite minimo di spesa?
prodotto_sbagliato	Il prodotto ricevuto è totalmente sbagliato
errore_apertura_pagina	Non riesco ad accedere alla pagina di conferma email
consulto_medico	potrei avere la febbre gialla
modifica_dati_anagrafici	Non mi compare la possibilità di salvare i dati scritti
esito_ordine	Qual è l'esito del mio ordine?
new_covid_19	Mi sai dire cos'è il nuovo coronavirus detto anche covid-19?
modifica_ordine	Una volta fatta la spesa è possibile modificare la spesa?
modifica_ordine	ho inserito un prodotto nel carrello, come faccio a toglierlo?
prezzo_prodotti	prezzo prodotti
catalogo_premi	Vorrei vedere il catalogo punti
ecommerce	uwell è un e-commerce?
modifica_password	Non ho idea di come cambiare la password
nome_utente	Non ricordo username
modifica_email	la mia email non è corretta
citta_consegna	Posso fare la spesa online a Siracusa?
no_farmacia_intorno_a_me	non riesco a trovare la mia farmacia su Uwell, cosa posso fare?
no_farmacia_intorno_a_me	non trovo le farmacie vicino a me
errore_aggiunta_familiare	I miei familiari hanno espresso il consenso via mail ma non riesco ad aggiungere il loro profilo
ricerca_prodotti	Non trovo il pomodoro
ecommerce	come compro un farmaco per il mal di gola?
farmacia_preferita	Non riesco ad inserire la farmacia come preferita come mai?
modifica_ordine	Ho inoltrato un ordine posso comunque modificarlo?
sconti_non_applicati	avevo letto di uno sconto di 10 euro su una spesa di 60 euro
esito_ordine	Il pagamento dell'ordine è stato effettuato?
provenienza_spesa	chi mi prepara la spesa ?
carta_non_intestatario	Voglio registrarmi, posso inserire la carta fedeltà di qualcun'altro?
consegna_a_domicilio	quali sono le città nelle quali è attivo il servizio di consegna a domicilio?
cancellazione_account	non voglio avere un account
ordine_effettuare	Vorrei sapere come faccio ad effettuare un ordine
provenienza_spesa	Consegna a casa da dove arriva?
problema_consegna	Mi dà problemi nell'inserire l'indirizzo di consegna
citta_consegna	Non ho capito qual è il punto vendita per
prescrizione_medica	se devo ordinare farmaci con prescrizione medica posso?
prodotto_sbagliato	Il prodotto che ho ricevuto non è quello che ho ordinato
operatore	potete ricontattarmi al più presto?
info_malattie	Dove mi posso vaccinare contro la febbre gialla?
errore_schermata_indisponibile	Non riesco ad accedere alla schermata, mi dice di riprovare più tardi
tipologie_ordine	Posso scegliere più tipi di ordine?
info_per_farmacie	Sono il titolare della farmacia e vorrei essere contattato
citta_consegna	Spedite in tutta italia?
email_modifica	Ho un email nuova ora che faccio?
ordine_effettuare	Mi spieghi come effettuo un ordine?
farmacia_preferita	Non riesco a modificare la farmacia da web
tracking	Vorrei sapere se è stato preso in carico l'ordine appena effettuato
cosa_cucino	Che mi mangio per pranzo?
registrazione_utenti	come ci si registra per usare il vostro servizio?
fasce_orarie_consegna_a_casa	La domenica c'è consegna?
errore_credenziali	Non posso inserire le credenziali mi dici perchè?
orari_negozi	Fasce orarie disponibili per ritiro
ecommerce	ma la vendita è diretta dal sito?
contenuti_blog	mi piacerebbe scrivere un articolo per il vostro blog
promozioni	Promo info
promemoria	vorrei disattivare il mio promemoria
consegna_a_domicilio	in che modo avviene la consegna a casa?
rimozione_dati	Voglio rimuovere il mio profilo dal vostro sito
fare_spesa	Dove devo inserire la modalità del pagamento? 
citta_consegna	Dove spedite?
registrazione_utenti	registrazione utenti
sconti_non_applicati	Ho ordinato da sito ma non mi sono stati applicati gli sconti
errore_aggiunta_carrello	Non aggiunge niente in carrello
errore_schermata_indisponibile	Errore schermata
device_diversi_sincronizzati	vorrei sapere se è possibile utilizzare contemporaneamente il programma sul mio iphone e sull'ipad (entrambi della apple) in modo che operando su l'uno le operazioni appaiano automaticamente sull'altro
orari_negozi	posso sapere gli orari del mio store?
farmacia_preferita	Ho problemi di inserimento della mia farmacia preferita
saldo_punti	Posso fare il saldo punti da sito?
info_negozi	il negozio ha il parcheggio
citta_consegna	potete consegnare al mio indirizzo?
errore_schermata_indisponibile	Non mi compare la schermata
consulto_medico	Ho un problema intimo
agenda_bloccata	Come mai la funzione agenda non funziona mai e devo salvare gli appuntamenti sul calendario del telefono?
problema_configurazione_app	Non riesco a configurare il mio 2 pro con iphone 5s. Compare solo la scritta select huawei 2
volantino	Dove si trova il volantino?
citta_consegna	Posso usufruire del servizio anche su milano?
errore_password	Mi sono registrato ma mi dice che la mia password è errata che faccio?
consegna_piano	Abito al sesto piano senza ascensore
errore_pagamento	messaggio di errore finale al momento di pagare
errore_conclusione_ordine	Credo si sia svuotato il carrello mentre procedevo per il pagamento
consegna_piano	Mi verrà consegnata la spesa fino al piano del mio appartamento?
lista_preferiti	Lista della spesa
new_covid_19	Coronavirus
consulto_medico	alimenti per reflusso
errore_generico_app	uwell non funziona
controindicazioni	Dove trovo gli effetti collaterali di benagol
insoddisfazione_ordine	Vorrei sapere con chi parlare se non sono soddisfatto dell'ordine
info_malattie	Dove posso fare il vaccino contro la malaria?
citta_consegna	Calabria
controindicazioni	foglio illustrativo
errore_registrazione_app	Ho scaricato l’applicazione ho effettuato la registrazione ma al momento di cliccare sul link della mail che è arrivata è sparito tutto
controindicazioni	farmaci controindicazioni
hr	Come faccio a lavorare con voi?
privacy	Cosa ne fate dei miei dati?
consulto_medico	ho un allergia alla farina
cancellazione_newsletter	Vorrei essere cancellato dalla newsletter
logout_carrello	Il mio ordine si cancella se faccio logout?
tracking	Il numero di ordine è 
consulto_medico	Anticorpi
accesso_limitato	Cliccando sul telefono mi compare la scritta accesso limitato che faccio?
privacy	La mia privacy è tutelata?
citta_consegna	Spedizioni all'estero?
consulto_medico	soffro di febbre gialla
errore_conclusione_ordine	Non so se sono riuscita a concludere l'acquisto, adesso nel mio carrello non c'è più niente che posso fare?
codice_sconto	Come uso il buono sconto da 20 euro?
errore_aggiunta_familiare	è possibile inserire altri familiari? vorrei aggiungere mia madre anziana e mio marito ma sono riuscita ad aggiungere solo mio figlio!
modifica_password	Come posso modificare la password?
saldo_punti	Saldo punti disponibile anche online?
consegna_costo	Ritirare presso il negozio ha un costo?
coupon_omaggio	scaricare lo sconto
provenienza_spesa	Vorrei sapere da dove arriva la spesa ?
modifica_password	cambiamento password
errore_aggiunta_carrello	non riesco a caricare il mio carrello
errore_conclusione_ordine	Perchè mi avete annullato l'ordine?
uso_improprio_email	Non vi ho mai dato il consenso per l'utilizzo dei miei dati
farmacia_preferita	non capisco perchè non mi faccia inserire la mia farmacia preferita oltre che darmela come opzione nella mia zona
password_dimenticata	credenziali dimenticate
info_malattie	Come si cura la febbre gialla?
visita_supermercato	Voglio prima vedere il supermercato!
ricerca_prodotti	Rotelle divella
lista_farmaci_consegna_a_domicilio	Vorrei una macchinetta per misurare il diabete
sconti_non_applicati	Ho messo nel carrello il tonno che è in offerta con carta più, perchè il prezzo che compare non è scontato?
annullare_ordine	Voglio annullare un ordine
consulto_medico	Come fare passare il singhiozzo
errore_password	Registrazione effettuata ma errore password
fasce_orarie_consegna_a_casa	Quali sono le fasce orarie disponibili per usufruire del servizio di consegna a casa?
provenienza_spesa	Da quale supermercato mi arriva la mia spesa?
annullare_ordine	Come posso annullare il mio ordine?
errore_aggiunta_carrello	Non aggiunge in carrello niente
fare_spesa	Come devo fare per ordinare la mia spesa?
uso_improprio_email	La mia email è stata usata impropriamente
errore_conclusione_ordine	Mi impedisce di concludere l'ordine che posso fare?
coupon_omaggio	Mi dici come posso scaricare il coupon omaggio?
disponibilita_prodotti	Come faccio a sapere se un prodotto è disponibile?
prodotto_irreperibile	Non riesco a trovare un prodotto che faccio?
area_non_coperta	servizio Non attivo che faccio?
volantino	Catalogo per spesa
errore_chiusura	Mi aiuti con la chiusura del tutto?
consegna_costo	Vorrei sapere quanto costa la consegna
sconti_non_applicati	Sto creando un carrello, i prodotti CRAI , dovrebbero essere al 50%, ma nel carrello non vengono scontati
citta_consegna	Come posso verrificare se la mia zona è coperta
errore_password	Non riesco ad inserire la password anche se l'ho appena creata
tracking	Come faccio a sapere a che ora la mia spesa è pronta all'interno della fascia oraria?
hr	Posizioni aperte
consegna_costo	Quanto costa venire a ritirare la spesa?
info_per_farmacie	Come inserisco la mia farmacia nella lista farmacie?
contatti_punti_vendita	Numero di telefono del punto vendita
citta_consegna	Rieti
consegna_piano	La spesa verrà portata fino al piano del mio appartamento?
addebito_bancario_spesa	La banca mi ha mandato due email
estero	Mi sai dire se posso inviare e usufruire dei vostri servizi anche nelle farmacie estere?
controindicazioni	il mio cane rutta dopo assunzione del vs farmaco. come posso evitarlo?
registrazione_senza_email	registrazione senza email
citta_consegna	Come scopro la lista delle città che aderiscono al servizio?
prodotti_non_disponibili	Prodotti non disponibili che succede?
device_diversi_sincronizzati	come sincronizzo l'app sui devices ?
problema_consegna	Perchè non c'è nessuna fascia oraria disponibile per la consegna?
cosa_cucino	Consigli su cosa cucino?
logout_carrello	Logout il carrello si salva?
ricerca_prodotti	È possibile sapere se nel crai vicino a casa mia ci sono alcuni prodotti? 
consegna_a_domicilio	Funziona ad avellino?
costo_servizio	Per scaricare la vostra app devo pagare ?
importo_pagato_diverso	Sono arrivato alla fine e mi sono accorto che i prezzi sono tutti diversi
problema_sito	Ogni volta che cerco un prodotto mi dice sessione scaduta
disponibilita_prodotti	Prodotti disponibili?
consulto_medico	foglietto illustrativo farmaci
reso_prodotti	Come richiedo un reso
info_per_farmacie	Sono titolare di una farmacia e vorrei aderire al vostro programma
cambiare_orario_consegna	info su come modificare l'orario di consegna spesa a casa
ricetta	Dove chiedo le ricette?
hr	Curriculum
vaccini_viaggi	Dove posso trovare informazioni relative ai vaccini dei viaggi?
info_malattie	Vorrei informazioni sulla profilassi contro il tetano
acquisto_senza_carta_piu	Acquisto senza carta fedeltà?
orari_negozi	il punto vendita è aperto il sabato?
orari_negozi	orari store segrate
scaricare_app	Come si downloada l'app
errore_pagamento	Ho sbagliato ad acquistare
prezzo_prodotti	vorrei sapere il prezzo del farmaco
coupon_omaggio	mi sono registrato ma non trovo nulla per scaricare il coupon per il campione omaggio vichy idéal soleil spf 50.
tipologie_ordine	Tipologie ordine
operatore	mi serve il numero di telefono per prenotazioni visite
estero	è possibile inviare farmaci ordinati in Italia in farmacie extra europee
problema_accesso_app	Mi sapresti aiutare con l'accesso all'app?
contatti	Avete un email dove posso richiedere informazioni?
carrello_spesa	Non vedo il carrello della spesa?
privacy	tramite uwell sanofi avrà a disposizione dati e informazioni sensibili di molti utenti. come verranno utilizzati?
consegna_spesa	Informazioni sulla consegna
problema_sito	Ho dei problemi di apertura del vostro sito che faccio?
agenda_bloccata	Come mai devo salvare gli appuntamenti sul calendario del telefono e non riesco ad accedere all'agenda?
estensione_geografica	Mi dici in quali città posso usufruire del servizio?
acquisto_senza_carta_piu	Posso comprare senza carta fedeltà?
modalita_pagamento	Che metodi di pagamento accettate?
cosa_cucino	Mi puoi aiutare a capire cosa cucinare?
ticket	pagare con ticket?
sei_un_robot	chi sei?
costo_servizio	costo dell'app
codice_fiscale	Mi dici come faccio ad inserire il codice fiscale?
utente_bloccato	Mio marito ha l'accesso bloccato
volantino	Ho bisogno del volantino
collaborazioni	Sai dirmi a chi posso inviare il mio cv?
farmacia_preferita	Non riesco ad inserire la mia farmacia da app
consulto_medico	Ho il valore altissimo della tiroide mi può dire cos’è
errore_password	Problema con password
prodotti_non_disponibili	ho ricevuto un ordine ed alcuni prodotti sono stati cancellati, riceverò un rimborso ?
disponibilita_prodotti	info prodotti disponibili
info_registrazione	Non posso registrarmi come mai?
tipologie_ordine	In che modo si differenziano gli ordini?
consegna_spesa	Consegna spesa
consulto_medico	Ho bisogno di nurofen
ricerca_prodotti	Quanto costa panna chef 299 ml per cucinare
consegna_costo	Ci sono spese aggiuntive per la consegna?
errore_pagamento	acquisto errato
reso_consegna_domicilio	come faccio a riconsegnarvi un prodotto?
consegna_costo	La consegna quanto costa ?
tracking	Vedere lo stato del mio ordine?
codice_sconto	per avere i 20 euro di sconto bisogna inserire un codice?
fare_spesa	come faccio la spesa?
servizio_di_consegna	chi paga il servizio?
prodotto_sbagliato	Non ho ordinato questo prodotto che faccio?
privacy	info privacy
info_negozi	io abito a il vostro magazzino più vicino dove posso fare la spesa qual è?
prezzo_prodotti	Vorrei sapere il prezzo di un prodotto
importo_pagato_diverso	Il prezzo del carrello non è come quello dei prodotti
acquisto_senza_carta_piu	Non posseggo la carta fedelta'... posso effettuare l'ordine?
utente_bloccato	"L'utente tra ""la mia famiglia"" risulta essere bloccato"
cancellazione_newsletter	Vorrei essere cancellato dalla newsletter
medico_preferito	aggiungere medico di famiglia
cancellazione_account	Vorrei che i miei dati fossero cancellati
errore_password	Sono registrata ma non mi fa proseguire
reso_prodotti	Non sono contenta della merce arrivata
consulto_medico	Quali sono le quantità da consumare a ottant'anni
problema_consegna	Aspettavo la spesa a una certa ora ma non mi è stata consegnata
stile_di_vita	È possibile visualizzare informazioni specifiche sui prodotti a seconda del mio stile di vita?
ricerca_prodotti	Non trovo sul sito i prodotti
catalogo_premi	Voglio il catalogo premi
esito_ordine	dopo quanto viene accettato l'ordine?
problema_consegna	Il mio ordine doveva arrivare alle 11
no_farmacia_intorno_a_me	Ho inserito il mio indirizzo ma sulla mappa  ma non compare neanche una farmacia
info_per_farmacie	Con chi posso parlare per sapere come far aderire la mia farmacia al vostro servizio?
iniziative_commerciali	Vorremmo parlare con voi per delle promozioni
promemoria	notifica promemoria
email_modifica	Cosa posso fare se la mia email è stata cambiata ?
rimozione_dati	Perché compaiono i miei dati sulla vostra piattaforma?
modifica_ordine	Devo modificare la data dell'ordine
ticket	come faccio a pagare tramite ticket?
errore_aggiunta_carrello	Non funziona il carrello, seleziono i prodotti e non li inserisce
modifica_preferiti	Come mai Non mi fa salvare il dati relativi al mio medico?
errore_password	Non riesco ad inserire la password
stile_di_vita	Vorrei avere delle info in base allo stile di vita di una persona?
problema_sito	non riesco a registrarmi
limite_minimo	Spesa minima da fare?
tipologie_ordine	Che si intende per tipologie ordine?
errore_pagamento	Avevo fatto la spesa ma non procedeva con il pagamento
password_dimenticata	Non mi avete ancora mandato la password per accedere all'area
costo_servizio	Devo pagare per utilizzare il vostro servizio?
catalogo_premi	Vorrei vedere il catalogo dei premi
problema_configurazione_app	Ho problemi con la configurazione dell'applicazione
saldo_punti	Vorrei sapere quanti punti ho sulla mia carta fedeltà
errore_registrazione_app	Problema di registrazione da app
disponibilita_prodotti	ho provato ma non trovo il prodotto
citta_consegna	Nel mio paese arriva la spesa a casa?
ricerca_prodotti	avrei bisogno di camomilla in filtri montana o altre marche
cancellazione_newsletter	non voglio le news
errore_registrazione_app	Ho problemi con la registrazione da app
limite_minimo	C'è un limite minimo?
modalita_pagamento	Si può pagare alla consegna?
device_diversi_sincronizzati	sincronizzare
errore_password	errore password
modifica_ordine	Modifica consegna
contenuti_blog	Mi sai dire come posso scrivere un articolo per il vostro blog ?
fare_spesa	Come andare avanti nell'acquisto?
problema_consegna	Aspettavo una consegna ma non si vede nessuno
privacy	Come faccio a sapere se la mia privacy è tutelata ?
unita_peso	Unità di peso predefinite
registrazione_senza_email	come posso inserire chi non ha mail?
errore_aggiunta_carrello	Non riesco ad inserire i prodotti nel carrello
info_registrazione_azienda	Siamo un'azienda e vogliamo registrarci
registrazione_utenti	Vorrei registrarmi
ecommerce	e-commerce
fare_spesa	Posso fare ordini superiori ai 30 euro
disponibilita_prodotti	Sto cercando questo prodotto come faccio a sapere se è disponibile?
privacy	quali sono le vostre norme sulla privacy?
errore_aggiunta_familiare	Sono riuscita ad aggiungere solo mio figlio ma vorrei aggiungere anche mia madre come faccio?
saldo_punti	info saldo punti
ricerca_prodotti	President riccadonna
modalita_pagamento	Come posso pagare?
costo_servizio	Devo pagare per poter scaricare la vostra app?
errore_schermata_indisponibile	Non riesco ad accedere alla schermata
contenuti_blog	Vorrei partecipare alla stesura di contenuti sul vostro blog
modifica_password	nuova password
reso_prodotti	Vorrei reclamare dei prodotti avariati
scaricare_app	come faccio a scaricare l'applicazione
